@relation invoice_fraud_detection

@attribute amount numeric
@attribute invoice_hour numeric
@attribute is_weekend {yes,no}
@attribute user_role {ADMIN,STAFF,AUDITOR}
@attribute shift_status {OPEN,CLOSED}
@attribute invoice_status {COMPLETED,PENDING,APPROVED,REJECTED,DELETED}
@attribute edit_count numeric
@attribute duplicated_invoice {yes,no}
@attribute fraud {no,yes}

@data
760000,10,no,STAFF,OPEN,APPROVED,0,no,no
2050000,3,yes,STAFF,OPEN,PENDING,2,no,yes
3700000,2,yes,ADMIN,OPEN,PENDING,4,yes,yes
295000,14,no,STAFF,CLOSED,APPROVED,0,no,no
880000,9,no,STAFF,OPEN,COMPLETED,1,no,no
2450000,4,yes,STAFF,OPEN,PENDING,3,no,yes
540000,12,no,STAFF,OPEN,APPROVED,0,no,no
4450000,1,yes,ADMIN,CLOSED,PENDING,5,yes,yes
770000,16,no,STAFF,OPEN,COMPLETED,1,no,no
2150000,2,yes,STAFF,OPEN,PENDING,2,no,yes
3950000,3,yes,ADMIN,OPEN,PENDING,4,yes,yes
200000,10,no,STAFF,OPEN,APPROVED,0,no,no
5000000,23,yes,STAFF,OPEN,PENDING,3,yes,yes
150000,14,no,STAFF,CLOSED,APPROVED,0,no,no
3200000,2,yes,ADMIN,OPEN,PENDING,4,yes,yes
800000,11,no,STAFF,OPEN,APPROVED,1,no,no
6000000,1,yes,STAFF,OPEN,PENDING,5,yes,yes
900000,9,no,STAFF,CLOSED,APPROVED,0,no,no
7500000,0,yes,ADMIN,OPEN,PENDING,6,yes,yes
300000,15,no,STAFF,OPEN,APPROVED,1,no,no
10000000,3,yes,STAFF,OPEN,PENDING,7,yes,yes
400000,13,no,STAFF,CLOSED,APPROVED,0,no,no
2500000,22,yes,STAFF,OPEN,PENDING,2,yes,yes
200000,8,no,STAFF,OPEN,APPROVED,0,no,no
3500000,21,yes,ADMIN,OPEN,PENDING,3,yes,yes
500000,12,no,STAFF,OPEN,APPROVED,1,no,no
4200000,1,yes,STAFF,OPEN,PENDING,4,yes,yes
600000,16,no,STAFF,CLOSED,APPROVED,0,no,no
2800000,23,yes,STAFF,OPEN,PENDING,3,yes,yes
450000,10,no,STAFF,OPEN,APPROVED,0,no,no
7200000,2,yes,ADMIN,OPEN,PENDING,5,yes,yes
350000,14,no,STAFF,CLOSED,APPROVED,1,no,no
3800000,0,yes,STAFF,OPEN,PENDING,4,yes,yes
550000,11,no,STAFF,OPEN,APPROVED,0,no,no
9000000,3,yes,ADMIN,OPEN,PENDING,6,yes,yes
270000,9,no,STAFF,CLOSED,APPROVED,0,no,no
3100000,22,yes,STAFF,OPEN,PENDING,3,yes,yes
480000,13,no,STAFF,OPEN,APPROVED,1,no,no
6500000,1,yes,STAFF,OPEN,PENDING,5,yes,yes
700000,15,no,STAFF,CLOSED,APPROVED,0,no,no
5000000,23,yes,ADMIN,OPEN,PENDING,4,yes,yes
